            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2461366.833333333, A.D. 2026-Nov-22 08:00:00.0000,  5.032987568212597E-01,  8.540943482746880E-01,  7.374398931971816E-04, -1.506868790946456E-02,  8.758295157498066E-03,  8.489664658752623E-06,  5.725596555411782E-03,  9.913563124276688E-01, -1.045388376548571E-04,
2461367.833333333, A.D. 2026-Nov-23 08:00:00.0000,  4.881515650889820E-01,  8.627186953681620E-01,  7.453153446292024E-04, -1.522490381987917E-02,  8.490001559369565E-03,  7.266400957432585E-06,  5.724981062701628E-03,  9.912497431684555E-01, -1.085217363348638E-04,
2461368.833333333, A.D. 2026-Nov-24 08:00:00.0000,  4.728505372001606E-01,  8.710735668366543E-01,  7.519828695383580E-04, -1.537635529726345E-02,  8.219354360640247E-03,  6.073679930980668E-06,  5.724343903707033E-03,  9.911394225083814E-01, -1.120437474779685E-04,
2461369.833333333, A.D. 2026-Nov-25 08:00:00.0000,  4.574004539105861E-01,  8.791566400395682E-01,  7.574726443132515E-04, -1.552300920988297E-02,  7.946415781591939E-03,  4.910799472054675E-06,  5.723687705313612E-03,  9.910258052785912E-01, -1.151166189144586E-04,
2461370.833333333, A.D. 2026-Nov-26 08:00:00.0000,  4.418061296263986E-01,  8.869656537324349E-01,  7.618140749744073E-04, -1.566482988247717E-02,  7.671243233555216E-03,  3.776779279517647E-06,  5.723015021061624E-03,  9.909093336108752E-01, -1.177561971422290E-04,
2461371.833333333, A.D. 2026-Nov-27 08:00:00.0000,  4.260724164241539E-01,  8.944984002907828E-01,  7.650354095932873E-04, -1.580178334317141E-02,  7.393891541897802E-03,  2.670362210543815E-06,  5.722328294749391E-03,  9.907904306357953E-01, -1.199828037165447E-04,
2461372.833333333, A.D. 2026-Nov-28 08:00:00.0000,  4.102041949972995E-01,  9.017527281704769E-01,  7.671634548328598E-04, -1.593384138390221E-02,  7.114414735386204E-03,  1.589931655204072E-06,  5.721629842096549E-03,  9.906694973077788E-01, -1.218211136186374E-04,
2461373.833333333, A.D. 2026-Nov-29 08:00:00.0000,  3.942063741169486E-01,  9.087265406354358E-01,  7.682234386576416E-04, -1.606097808260974E-02,  6.832870712268450E-03,  5.340068846374303E-07,  5.720921837746471E-03,  9.905469101546527E-01, -1.232940694275637E-04,
2461374.833333333, A.D. 2026-Nov-30 08:00:00.0000,  3.780838875305556E-01,  9.154178012427450E-01,  7.682392120500324E-04, -1.618316867319909E-02,  6.549321771195723E-03, -4.986779573683982E-07,  5.720206332635171E-03,  9.904230242849803E-01, -1.244215544156107E-04,
2461375.833333333, A.D. 2026-Dec-01 08:00:00.0000,  3.618416938001554E-01,  9.218245379919402E-01,  7.672334933725161E-04, -1.630038815093273E-02,  6.263834389424138E-03, -1.509122723340182E-06,  5.719485273376411E-03,  9.902981767444858E-01, -1.252198345973948E-04,
2461376.833333333, A.D. 2026-Dec-02 08:00:00.0000,  3.454847768174000E-01,  9.279448471735168E-01,  7.652281256848445E-04, -1.641261083981042E-02,  5.976478558089313E-03, -2.498083931343538E-06,  5.718760522268660E-03,  9.901726899801542E-01, -1.257019342427375E-04,
2461377.833333333, A.D. 2026-Dec-03 08:00:00.0000,  3.290181464875209E-01,  9.337768965502085E-01,  7.622442998869718E-04, -1.651981041323779E-02,  5.687327130396465E-03, -3.466116840589832E-06,  5.718033874284735E-03,  9.900468747818939E-01, -1.258782490037037E-04,
2461378.833333333, A.D. 2026-Dec-04 08:00:00.0000,  3.124468392832727E-01,  9.393189279404374E-01,  7.583027344660737E-04, -1.662196010401640E-02,  5.396455284311839E-03, -4.413618175887844E-06,  5.717307070469369E-03,  9.899210326022559E-01, -1.257571539678861E-04,
2461379.833333333, A.D. 2026-Dec-05 08:00:00.0000,  2.957759185553845E-01,  9.445692593217665E-01,  7.534238144220198E-04, -1.671903296897758E-02,  5.103940098230628E-03, -5.340863448460680E-06,  5.716581808034537E-03,  9.897954573043848E-01, -1.253455333290033E-04,
2461380.833333333, A.D. 2026-Dec-06 08:00:00.0000,  2.790104745765215E-01,  9.495262865576199E-01,  7.476276971083128E-04, -1.681100215016857E-02,  4.809860216640067E-03, -6.248037596528321E-06,  5.715859747656298E-03,  9.896704364254257E-01, -1.246492209159166E-04,
2461381.833333333, A.D. 2026-Dec-07 08:00:00.0000,  2.621556243336323E-01,  9.541884848257479E-01,  7.409343895290772E-04, -1.689784111371766E-02,  4.514295583074270E-03, -7.135259504274409E-06,  5.715142518465211E-03,  9.895462520405920E-01, -1.236733614975033E-04,
2461382.833333333, A.D. 2026-Dec-08 08:00:00.0000,  2.452165110952712E-01,  9.585544098046364E-01,  7.333638044937296E-04, -1.697952386337784E-02,  4.217327222135810E-03, -8.002601369507303E-06,  5.714431721141924E-03,  9.894231812991455E-01, -1.224227070646726E-04,
2461383.833333333, A.D. 2026-Dec-09 08:00:00.0000,  2.281983037775477E-01,  9.626226986605745E-01,  7.249357996476686E-04, -1.705602513093323E-02,  3.919037057419036E-03, -8.850103817295182E-06,  5.713728929458030E-03,  9.893014966911911E-01, -1.209018604134422E-04,
2461384.833333333, A.D. 2026-Dec-10 08:00:00.0000,  2.111061961289199E-01,  9.663920708672925E-01,  7.156702029172177E-04, -1.712732054690161E-02,  3.619507756189830E-03, -9.677787456224804E-06,  5.713035690541168E-03,  9.891814660935755E-01, -1.191154754263681E-04,
2461385.833333333, A.D. 2026-Dec-11 08:00:00.0000,  1.939454057528329E-01,  9.698613288806988E-01,  7.055868279016172E-04, -1.719338679535744E-02,  3.318822594346692E-03, -1.048566140983821E-05,  5.712353524090285E-03,  9.890633526340148E-01, -1.170684212035966E-04,
2461386.833333333, A.D. 2026-Dec-12 08:00:00.0000,  1.767211729816975E-01,  9.730293586866257E-01,  6.947054821885093E-04, -1.725420175756780E-02,  3.017065337022383E-03, -1.127372925873258E-05,  5.711683920733533E-03,  9.889474144067724E-01, -1.147659154873413E-04,
2461387.833333333, A.D. 2026-Dec-13 08:00:00.0000,  1.594387596104309E-01,  9.758951302356654E-01,  6.830459708635296E-04, -1.730974465070946E-02,  2.714320132069793E-03, -1.204199276601333E-05,  5.711028339694751E-03,  9.888339040686243E-01, -1.122136308969120E-04,
2461388.833333333, A.D. 2026-Dec-14 08:00:00.0000,  1.421034474897270E-01,  9.784576977784281E-01,  6.706280974689359E-04, -1.735999617018796E-02,  2.410671417481050E-03, -1.279045364840763E-05,  5.710388205926053E-03,  9.887230683423808E-01, -1.094177733329996E-04,
2461389.833333333, A.D. 2026-Dec-15 08:00:00.0000,  1.247205369711290E-01,  9.807162001184156E-01,  6.574716637689813E-04, -1.740493864628999E-02,  2.106203852192534E-03, -1.351911344894516E-05,  5.709764906887727E-03,  9.886151474593436E-01, -1.063851226861250E-04,
2461390.833333333, A.D. 2026-Dec-16 08:00:00.0000,  1.072953451848321E-01,  9.826698608167631E-01,  6.435964711442285E-04, -1.744455622572804E-02,  1.801002296925372E-03, -1.422797116444391E-05,  5.709159789261143E-03,  9.885103745901641E-01, -1.031230071810559E-04,
2461391.833333333, A.D. 2026-Dec-17 08:00:00.0000,  8.983320411986634E-02,  9.843179884263772E-01,  6.290223251325340E-04, -1.747883507901159E-02,  1.495151902030528E-03, -1.491701765800191E-05,  5.708574156145825E-03,  9.884089753595304E-01, -9.963914980949571E-05,
2461392.833333333, A.D. 2026-Dec-18 08:00:00.0000,  7.233945849724416E-02,  9.856599769058717E-01,  6.137690484739752E-04, -1.750776359892213E-02,  1.188738400837409E-03, -1.558622512839451E-05,  5.708009265752612E-03,  9.883111676198963E-01, -9.594128142676170E-05,
2461393.833333333, A.D. 2026-Dec-19 08:00:00.0000,  5.481946349460881E-02,  9.866953064801383E-01,  5.978565083183579E-04, -1.753133246936927E-02,  8.818487272635716E-04, -1.623552963124439E-05,  5.707466333311713E-03,  9.882171617818500E-01, -9.203639658822551E-05,
2461394.833333333, A.D. 2026-Dec-20 08:00:00.0000,  3.727858256616451E-02,  9.874235452953214E-01,  5.813046638997491E-04, -1.754953435266089E-02,  5.745719635744998E-04, -1.686480689526966E-05,  5.706946538373805E-03,  9.881271620782602E-01, -8.792965823502508E-05,
